predicted,real,set
5.9215217,6.3,training
4.8979445,4.83,training
7.802498,9.07,training
8.575682,8,training
8.802519,9,training
5.895948,5.62,training
7.3409467,7.12,training
3.5902338,3.55,training
3.683266,3.6,training
9.107309,9.51,training
4.446923,4.55,training
3.2330031,3.34,training
3.416158,2.99,training
6.9996676,7.24,training
6.874904,7.28,training
7.36039,8.52,training
3.4588997,3.15,training
5.6440153,6.74,training
5.9584312,6.09,training
7.773872,6.77,training
10.978821,10,training
7.672168,7.57,training
3.3708372,1.8,training
2.518194,1.94,training
6.114491,6.7,training
6.054351,6.27,training
5.6117907,5.82,training
7.0648184,7.74,training
9.062909,9.8,training
8.437608,7.82,training
10.639111,10.26,training
6.271089,6.96,training
4.892439,3.79,training
4.863726,4.99,training
5.4053617,5.1,training
7.906186,7.97,training
7.7091713,7.3,training
6.445369,5.82,training
7.599167,7.43,training
6.0076594,5.66,training
4.231323,3.77,training
9.81659,10.08,training
2.1378384,2.7,training
6.019934,5.22,training
5.3659406,5.21,training
7.7060766,6.7,training
7.5033603,6.6,training
4.032626,3.64,training
8.151666,7.44,training
9.285881,8.7,training
9.285881,8.7,training
7.3289323,7.19,training
8.786834,8.89,training
5.8785653,5.85,training
6.093982,6.31,training
4.089209,3.66,training
5.69103,5.15,training
6.0190883,5.33,training
6.1622915,6.58,training
7.12854,6.38,training
4.937447,4.05,training
9.440466,8.7,training
3.5670896,3.4,training
6.1316752,6.3,training
4.2345934,4,training
8.498046,7.59,training
7.839941,7.37,training
5.7382913,5.39,training
8.700268,7.8,training
6.054351,5.51,training
6.7106676,6.6,training
5.575872,4.74,training
4.189897,3.74,training
4.484474,3.8,training
8.5093155,8.49,training
9.749857,8.7,training
9.705622,9.21,training
7.317289,7.24,training
7.5561485,7.1,training
8.310067,8.22,training
7.4717994,7.15,training
5.9378014,5.24,training
8.3319645,7.72,training
5.4138303,5.52,training
4.4074783,4.63,training
2.9182343,2.77,training
4.955714,4.2,training
8.54448,7.92,training
10.86248,11.3,training
8.73268,8.22,training
3.6839752,3.77,training
4.687096,4.37,training
